"job_url","site","title","company","company_url","location","job_type","date_posted","interval","min_amount","max_amount","currency","is_remote","num_urgent_words","benefits","emails","description"
"https://www.glassdoor.co.in/job-listing/j?jl=1009157331042","glassdoor","PeopleSoft Developer","Divish LLC","https://www.glassdoor.co.in/Overview/W-EI_IE8119500.htm","","","2024-03-05","hourly",60.0,60.0,"USD",True,0.0,"","","Divish LLC is currently looking for Peoplesoft Developer to work with one of its Direct Client.

Required Skills:

PeopleSoft 9.2 Cash Management module and other financials modules.

PeopleSoft modules such as Asset Management, General Ledger, Account Payables, Accounts Receivable.

Job Type: Contract

Pay: $60.00 per hour

Experience:

* Peoplesoft Financial: 10 years (Required)
* Peoplesoft Integration: 10 years (Required)

Work Location: Remote"
"https://www.glassdoor.co.in/job-listing/j?jl=1009156997237","glassdoor","Software Test Engineer","WebstaurantStore","https://www.glassdoor.co.in/Overview/W-EI_IE827722.htm","Lititz, PA","","2024-03-04","yearly",56633.0,89311.0,"USD",False,0.0,"","","WebstaurantStore is seeking a Software Test Engineer with mid to senior-level experience to become a valuable addition to our growing Enterprise Resource Planning (ERP) development team.

  

Our ERP software engineering team plays a pivotal role in constructing and improving the systems that manage various aspects of our organization, including procurement, inventory control, logistics, sales order processing, accounts receivable, accounts payable, and company financials processes.

  

Technology-wise, the ERP software engineering team uses a Microsoft .NET development stack with C# as our programming language of choice. The development scope encompasses desktop applications, web services, queued services, front-end web interfaces and mobile apps.

 **We’re looking for a software test engineer candidate with:**

* At least 3 years' experience as a test engineer (desktop, mobile, and web testing experience)
* Azure DevOps experience
* SQL (Microsoft) and relational database experience
* Strong analytical skills
* Ability to write clear and concise Test Cases and Bug Reports
* An understanding of data Integrity Validation
* Experience in various types of functional testing, including end-to-end testing, regression testing, acceptance testing, integration testing, and smoke testing.
* An understanding of the agile development life cycle
* Most importantly, the ideal candidate must be thorough, detail-oriented and have excellent written and oral communication skills.

 **Nice to Have:**

* Previous experience working with an ERP system

 **Responsibilities Include:**

* Manual testing of desktop, mobile, and web applications
* Test and validate that software meets primary business architectural criteria
* Creating and maintaining test cases within Microsoft Azure DevOps
* Prioritization of testing tasks
* Collaborating with developers and business analyst
* Identifying and reporting bugs, risks, and inadequacies to the team

  

WebstaurantStore offers a competitive compensation and a comprehensive benefits package including paid time off, medical/dental insurance, wellness programs, gym membership reimbursement, profit sharing, and a 401k with company match.


Our department also offers an optional condensed/flex work week allowing you to choose a schedule that suits your lifestyle and the ability to work remotely full-time.

  

H-1B Sponsorship not available, W2 only. We do not accept unsolicited resumes from third-party recruiters. In addition, we are not seeking to expand our 3rd party partnerships at this time.

 **Remote work qualifications*** Access to a reliable and secure high-speed internet connection. Cable or fiber internet connections (at least 75mbps download/10mbps upload) are preferred, as satellite connections often cannot support the technologies used to perform day-to-day tasks.
* Access to a home router and modem.
* A dedicated home office space that is noise- and distraction-free. The space should have strong wireless connection or a wired Ethernet connection (wired connection is preferred, if possible).
* A valid, physical address (apartment, suite, etc.). PO Boxes are not supported, as a physical address is required for you to receive your computer equipment.
* The desire and ability to work and communicate with other team members via chat, webcam, etc.
* Legal residents of one of the following states: (AK, AL, AR, AZ, CT, DE, FL, GA, IA, ID, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NM, NV, OH, OK, PA, SC, SD, TN, TX, UT, VA, VT, WI, WV, and WY). H-1B Visa Sponsorship Not Available, W2 only."
"https://www.glassdoor.co.in/job-listing/j?jl=1009148892014","glassdoor","Oracle EBS Technical Developer","Relevance Lab","https://www.glassdoor.co.in/Overview/W-EI_IE759518.htm","","","2024-02-29","","","","",True,0.0,"","","**Work Location: Remote.****No.of Positions: 2****Experience: 9 - 10 years****Required Skills:** Oracle EBS technical, E-business suite, Oracle forms 11g & reports 11g, workflow, BI Publisher/XML publisher, O2C (order to cash), Inventory.
**Technical Experience:*** 10+ Years of Oracle EBS Technical and Development Experience.
* Experience working with Oracle Applications version 12.1 onwards.
* 10+ Years of Experience in Designing and developing RICEW (Reports, Interfaces, Conversions, Extensions and Workflow) components.
* Strong Understanding and working knowledge of End-to-End Processes like Order to Cash, Supply chain.
* Strong Hands-on Development experience in Oracle EBS Modules like, Order Management, Account Receivable, Payments (IBY), Inventory (INV), Contracts (Service & Subscription), Customer Master, Trade Management.
* Strong experience with SQL, PL/SQL, UNIX shell scripting, Workflow and SQL\\*Loader.
* Solid Experience of creating Packages, Procedures, Functions, Views, Exception handling, SQL\\*Loader in Oracle., PL/SQL and SQL PLUS.
* Experience Building and customizing OAF (Oracle Applications Framework) Pages.
* Experience in Oracle Applications Performance tuning.
* Experience and understanding of the Java and related J2EE technologies development.
* Strong experience with XML, XSD and XSLT.
* Worked on the SLAs and ticketing processes.
* Monitor and manage day-to-day technical tasks and scheduled job failure."
"https://www.glassdoor.co.in/job-listing/j?jl=1009139732744","glassdoor","Senior Software Engineer","Versapay","https://www.glassdoor.co.in/Overview/W-EI_IE342629.htm","","","2024-02-23","yearly",140000.0,150000.0,"USD",True,0.0,"","","**About Versapay \\uD83D\\uDE80**  

Versapay is the leader in Collaborative Accounts Receivable. The Versapay Collaborative AR Network is the first solution that empowers the genius of teams by bridging the gap between suppliers and buyers through a shared, digital experience. Versapay’s accounts receivable (AR) automation solutions and next-generation B2B payments network make billing and payments easier for enterprises, increasing efficiencies, accelerating cash flow, and dramatically improving the customer experience.  

Founded in 2006, the company has grown into a global network of 9,000+ clients and 1,000,000+ users handling 40+ million new invoices and driving $60+ billion in global payment volume annually.
Versapay goes beyond traditional AR automation to deliver customer-driven experiences. The results? Versapay’s clients benefit from improved payment times and stronger customer relationships with an over 80% portal adoption rate.  

Owned by Great Hill Partners, Versapay is based in Toronto with offices in Atlanta and Miami.  

Think you might be the next Veep to join? Read on!! **Our Values*** ️ We obsess over our customers.
* ️ We help each other.
* ️ We embrace diversity.
* ️ We find better ways.
* ️ We get things done.
* ️ We own it.

 **HOW YOU’LL MAKE A HUGE IMPACT HERE – AND ON YOUR CAREER**  

As a Senior Software Developer on the Cash App Squad, you will work with a talented group of engineers to ensure that we deliver quality code on time while helping us to streamline processes and optimize our workflow. This is a unique opportunity for focused engineers with a dedication to the craft and an eagerness to improve teams. You will work to deliver new features, fix bugs, reduce tech debt, help level-up less experienced developers via code reviews and mentoring, and help shape and drive team culture.### **What You'll Do**

* **Get stuff done:** Implement new features, improve user experiences, and fix bugs in a mature SaaS application.
* **Grow those around you:** Review PRs to educate others of best practices, pair program with people who are stuck on a problem, ensure the team is following agreed upon standards.
* **Design solutions:** As needed, work closely with the Implementations Team to turn customer needs/pain points into actionable work with technical designs.
* **Help define and implement future architecture:** Help create an architectural roadmap to future proof our app and make that plan come to life.
* **Focus on NFRs:** Ensure we have the right level of resiliency, logging, monitoring, security, etc.
* **Support production:** Help debug/diagnose/triage emergency production issues (luckily rare).

### **What You'll Bring to the Team:**

* **Education & Experience:**
* 5+ years of experience with RoR and Javascript.
* B.S. Computer Science, Mathematics, or related field is prefered but not necessary.
* Familiarity with SaaS applications and the FinTech domain are a plus.
* **Vision:** An insatiable desire to make the team awesome; a drive to identify and seize opportunities for wins both in the code and in how the team works.
* **Technical Expertise:** A strong understanding of programming patterns, best practices, long term software maintenance, software architecture, and how to balance best vs. practical.
* **Collaboration:** Work closely with others to achieve team goals. Understand how to give feedback appropriately. Mentor/coach via pair programming if needed.
* **Technical Oversight:** Ensure that the code is appropriately optimized (avoiding n+1 queries, etc.), appropriately structured, appropriately formatted, that technical decisions made are right, that the code is well-tested, and that we aren't introducing technical debt.
* **Humility/Teamwork:** Succeed as a team, fail as a team. Promote a blameless culture. See teammates as equals.

 **Nice to Have(s):**+ ️React.js
+ ️Postgres
+ ️Redis
+ ️Elasticsearch + Kibana
+ ️C++ (very minor)
+ ️Datadog
+ ️New Relic
+ ️Loggly
+ ️AWS
+ ️Azure
+ ️Kubernetes
+ ️Semaphore CI


Salary band is $140,000-$150,000 USD with a 10% annual bonus.
#LI-Remote **All of our Veeps live out our core values:**
We look for excellence: individuals that are better than we are and not only meet our values but bring value to our teams.  

Research shows that while men apply to jobs when they meet an average of 60% of the criteria, women and other marginalized folks tend to only apply when they check every box. Think you have what it takes, but not sure you check every box? Apply to the role anyways. We’d love to talk and determine together whether you could be a great fit!  

We are committed to providing an environment that is inclusive and accessible. Versapay is an equal opportunity employer and considers all applicants for employment without discrimination. Please let us know if accommodation for the recruitment/interview process is required and we will work with you to make sure your needs are addressed."
"https://www.glassdoor.co.in/job-listing/j?jl=1009133789970","glassdoor","ORACLE EBS PL/SQL DEVELOPER (W2 Role)","IT Engagements,Inc.","https://www.glassdoor.co.in/Overview/W-EI_IE6118143.htm","Belmont, WI","","2024-02-20","hourly",60.0,60.0,"USD",False,1.0,"","","Greeting from IT Engagements. We IT Engagements is a global staff augmentation firm providing a wide-range of talent on-demand and total workforce solutions. We have an immediate opening for the below position with one of our premium clients.

**Role: ORACLE EBS PL/SQL DEVELOPER(W2 Only)**

**Location: Wisconsin, WI**

**ESSENTIAL FUNCTIONS:**

· Develop, test, support and maintain applications based on business requirements.  
· Troubleshoot and resolve software related issues.  
· Maintain code quality through unit, integration and performance testing.  
· Monitor and optimize systems to ensure they perform well.  
· Document code appropriately for maintainability.

**SKILLS, EDUCATION AND EXPERIENCE:**

· We need PL/SQL Developer, proficient in Oracle EBS suite 12.2.4 or higher and it's integration with other modules like Fixed Assets (FA), Inventory (INV), Purchase Order (PO), Account Receivables (AR), General Ledger (GL), etc.  
· Having Good knowledge of SDLC.  
· Involved in Requirement Gathering, analysis, Design, Development, Unit Testing, Production Deployment and Support.  
· Experience of creating PL/SQL Packages, Procedures, Functions, and Views in Oracle EBS.  
· Oracle Forms 10g, Oracle Reports 10g, XML Publisher.  
· Oracle Workflow, Web ADI, Unix Scripting, and SQL Performance Tuning knowledge.  
· Experience in code versioning tools like Git and Continuous Integration/Continuous Deployment tools like Jenkins.

**VERY DESIRED:**  
· Knowledge of integration between web applications, and ERP systems  
· Basic understanding of EBS database configuration: schemas, table relationships, Open Interfaces, and APIs.  
· Basic functional understanding of EBS modules and relationships between modules.  
· Produce Unit Test scripts and support all testing activities.  
· Knowledge of EBS Standard CEMLI, OUM documents.

Thanks

Job Type: Contract

Pay: Up to $60.00 per hour

Experience level:

* 7 years

Schedule:

* 8 hour shift

Application Question(s):

* Are you willing to work on W2 pay rate?

Experience:

* Oracle EBS: 4 years (Preferred)
* SQL: 2 years (Preferred)

Work Location: In person"
"https://www.glassdoor.co.in/job-listing/j?jl=1009083111102","glassdoor","Oracle Applications Developer","Intelliswift Software, Inc.","https://www.glassdoor.co.in/Overview/W-EI_IE232377.htm","Seattle, WA","","2024-01-20","hourly",50.0,52.0,"USD",False,0.0,"","","Pay rate range - $50/hr. to $52/hr. on W2.
100% Remote


Job Summary


Our team operates Oracle ERP and Virtual Trader (on Oracle Apps ERP) custom software platforms that are among the largest in the world by volume and complexity, and a successful candidate will be able to dive deep and execute technical and functional assignments with their team.


As a developer, you will drive architectural and design choices, invent new features, optimize programs and build a scalable, performance-driven solutions in Oracle Applications R12 and Virtual Trader systems.


We have a team culture that encourages innovation and we expect developers to take a high level of ownership, technical architecture and project delivery.


Key job responsibilities


Design, build and extend applications on Oracle Apps ERP and Virtual Trader.


Design and develop solutions and support multiple applications within the Oracle e-business suite and open-source technologies as required.


Develop technical specifications.


Configure standard applications. Modify standard forms and reports.


Develop interfaces in and out of the e-business suite.


End-user support for multiple applications in multiple geographies.


**BASIC QUALIFICATIONS**

* Bachelor’s degree or foreign equivalent in Computer Science, Engineering, Math or a related field and five years of experience in the job offered or related occupation as equivalent to the Master’s degree and two years of experience.


One year of experience must involve: developing solutions for Oracle’s e-business suite; experience with Oracle’s development tools including SQL and PLSQL, reports, forms, BI publisher, Workflow Build and JDeveloper;

* Experience with at least one of the following e-business suite applications: accounts Receivable, Accounts Payable, Procurement, iProcurement, iExpense, General Ledger, Inventory, or Fixed Assets; and experience engaging Oracle Support to research and resolve issues.


**PREFERRED QUALIFICATIONS**

* Master’s degree or foreign equivalent in Computer Science, Engineering, Math, or a related field and two years of experience in the job offered or as a Systems Analyst, Software Engineer or Developer, or a related occupation.
* Additional programming skills that are useful towards the job but not a core requirement; Perl, Java
* Must have a strong functional knowledge of the Oracle e-Business suite in a multiple organization and multiple set of books environment.
* A strong desire to work in a fast paced dynamic environment.
* Must be able to work independently with limited general supervision.
* Solid interpersonal skills and the ability to effectively organize and communicate across functional and technical lines are critical.
* Root cause analysis and complex problem solving skills are important.
* Strong working knowledge of SQL and PL/SQL best practices.
* Must have very strong analytical skills, with the ability to translate business requirements into technical specifications and an emphasis toward highly available and scalable global solutions.
* Experience prioritizing competing demands, scoping large efforts and negotiating timelines are necessary skills.


**REQUIRED SKILLS**


* Technical role Oracle Application Engineer can help
* Virtual Creator
* Application Developer role
* Oracle forms example
* Oracle AP, AR and GL
* 3-5 years of EXP"
"https://in.indeed.com/viewjob?jk=388d0397b7f4257b","indeed","Accounts Receivable Clerk","Genpact","https://in.indeed.com/cmp/Genpact","RJ, India","fulltime","2024-03-06","","","","",False,0.0,"","","***With a startup spirit and 115,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. We dream in digital, dare in reality, and reinvent the ways companies work to make an impact far bigger than just our bottom line. We’re harnessing the power of technology and humanity to create meaningful transformation that moves us forward in our pursuit of a world that works better for people. Now, we’re calling upon the thinkers and doers, those with a natural curiosity and a hunger to keep learning, keep growing., People who thrive on fearlessly experimenting, seizing opportunities, and pushing boundaries to turn our vision into reality. And as you help us create a better world, we will help you build your own intellectual firepower. Welcome to the relentless pursuit of better.******Inviting applications for the role of a*** ***Process Associate/Process Developer- Accounts Receivable/Cash Application******We are looking for professionals with OTC demonstrated ability who have worked on SAP ERP- preferably in collections management and have a good understanding of upstream and downstream of Collection/Exceptions******Responsibilities***
----------------------

***Review open AR listing daily and apply cash receipts******Prepare weekly AR reports for business team leads and department management******Address payment issues like double payments or other discrepancies******Complete reconciliations of unmatched payments to ensure proper and timely application******Create and update basic reports and spreadsheets******Provide payment plans basis customer requirement.***
***Qualifications***
--------------------

***Minimum qualifications**** ***Commerce Graduates***

* ***Relevant work experience***

***Preferred Skills***
----------------------

* ***Accounting Knowledge***

* ***Microsoft Excel Capabilities***

* ***Ability to quickly understand Core systems, general business and process***

* ***Adaptability***

* ***Problem Solving***

* ***Attention to Detail***

* ***Communication***

* ***Critical Thinking***

***Preferred Qualifications***
------------------------------

* ***Good customer handling skills***

* ***High Energy level***

***Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws.*** ***Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.******Furthermore, please do note that Genpact does not charge fees to process job applications and applicants are not required to pay to participate in our hiring process in any other way. Examples of such scams include purchasing a 'starter kit,' paying to apply, or purchasing equipment or training.*** ***Job****Process Developer*

***Primary Location****India-Jaipur*

***Schedule****Full-time*

***Education Level****Bachelor's / Graduation / Equivalent*

***Job Posting****Mar 6, 2024, 4:49:35 AM*

***Unposting Date****Ongoing*

*Master Skills List**Operations*

*Job Category**Full Time*"
"https://in.indeed.com/viewjob?jk=a141587df3ab60cb","indeed","Developer","Virtualize Technologies Pvt. Ltd.","https://in.indeed.com/cmp/Hbsb-Infotech","Mohali, PB, India","fulltime","2024-03-06","","","","",False,0.0,"","","Responsibilities:

* Excellent knowledge of Unity 3D and C#, including experience with Lighting, Textures, Animation, GUI Styles.
* Expert with AR/VR technology
* Expert in C# and JavaScript.
* Experience with Game Physics Particle Systems.
* Experience in Photon and Multiplayer Game Development
* Familiarity with Firebase, Facebook, or related SDK
* Familiar with Games like Ludo, Chess, Infinity Runner, Shooting, Card Game
* Familiar with AI implementation
* Knowledge of GIT is a plus.
* Excellent problem-solving skills.
* Driven and self-motivated, a self-starter who can work without needing direct supervision.

Requirements:

* Able to implement application functionality in Unity 3D as per communicated design
* Able to translate design specifications into a functional application.
* Able to design, build, and maintain efficient, reusable, and reliable code and prefabs.
* Able to ensure the best possible performance, quality, and responsiveness of applications.
* Being able to develop for oculus quest.
* Comfortable with Arcore.
* Excellent C# scripting skills.
* Familiarity in Blender.
* Skilled in Python programming

Location: Mohali, Punjab. (Work From Office)  
Experience required: 1 yr - 5 yrs

Job Type: Full-time

Salary: ₹15,000.00 - ₹80,000.00 per month

Benefits:

* Leave encashment
* Provident Fund

Work Location: In person"
"https://in.indeed.com/viewjob?jk=520ac026e15bf55e","indeed","Developer","WorkStrive Technologies Pvt Ltd.","https://in.indeed.com/cmp/Workstrive-Technologies-Pvt-Ltd.","WB, India","fulltime","2024-03-06","yearly",850000.0,900000.0,"INR",False,0.0,"","","***If you are a passionate and experienced Front-End Developer with a strong background in WebGL, Three.js, Babylon.js, and a desire to work on groundbreaking 3D/AR/XR projects, we invite you to join our team*** 

**Experience : 4 years plus**

**Salary : upto 9 LPA**

**Responsibilities:**

1. WebGL Development: Application of Three.js, to create immersive and visually stunning 3D experiences with physics using Rapier, 3D shape manipulation, Visual reflection experience

enhancement with optimization on rendering 3D world. Also interactive controls with First person view.

2. AR/XR Development: Develop augmented reality (AR) and extended reality (XR)

applications that leverage the latest technologies to deliver unique user experiences will be plus.

3. Front-End Development: Collaborate with cross-functional teams with Next.js / React.js to implement user interfaces and web applications, ensuring optimal performance and

responsiveness.

4. State Management: Leverage your knowledge of React and Redux to manage complex

application states, ensuring smooth interactions and data flow.

5. AWS Integration: Experience with Amazon Web Services (AWS) is a plus, as you may be

involved in deploying and maintaining applications on the cloud.

6. Optimization: Identify and address performance bottlenecks to ensure our web-based

platforms are fast, efficient, and user-friendly.

7. Code Quality: Maintain high code quality standards through best practices, code reviews,

and testing.

8. Collaboration: Work closely with designers, back-end developers, and other stakeholders to

integrate front-end components with APIs and databases and git knowledge to maintain code

base and versions.

9. Documentation: Document code, technical solutions, and application architecture for team members and future reference.

10. Stay Updated: Keep up-to-date with emerging technologies, trends, and best practices in web development, 3D graphics, AR, and XR.

**Requirements:**

- Bachelor's degree in Computer Science or a related field (or equivalent experience).

- Proven experience as a Front-End Developer with a strong portfolio showcasing WebGL,

Three.js, ReactThreeFiber, Drei and 3D/AR/XR projects.

- Proficiency in JavaScript, ES6+, and modern front-end development tools and libraries.

- Solid understanding of 3D graphics, WebGL, and the development of AR/XR applications.

**Preferred Qualifications:**

- Familiarity with UI/UX design principles and user-centric design.

- Contributions to open-source projects or relevant certifications.

- Passion for exploring new technologies and pushing the boundaries of web-based

experiences.

Job Type: Full-time

Salary: ₹850,000.00 - ₹900,000.00 per year

Benefits:

* Health insurance

Supplemental pay types:

* Yearly bonus

Education:

* Bachelor's (Preferred)

Experience:

* Front-end development: 4 years (Preferred)
* WebGL: 4 years (Preferred)
* Three.js: 4 years (Preferred)
* Babylon.js: 4 years (Preferred)

Ability to Commute:

* Kolkata, West Bengal (Preferred)

Work Location: In person"
"https://in.indeed.com/viewjob?jk=94c997646f2f7a73","indeed","Developer","Q2pay Technologies Pvt Ltd","https://in.indeed.com/cmp/Q2pay-Technologies-Pvt-Ltd","MH, India","fulltime","2024-03-05","monthly",30000.0,50000.0,"INR",False,0.0,"","careers@q2pay.in","**The Application will be viewed after completing and submitting the Assignment otherwise no application will be considered**.

**You Offer:-**

The candidate who is chosen for this role/project should expect to be technically &amp; functionally

highly able to adjust with high demand of requirements. The project expects the person to learn

by going through reading material and with minimal mentorship, the candidate should display

high degree of proactive behavior to be up to speed. The project works with agile delivery model

and is using scrum methodology. Any JIRA items allocated to the candidate will be encouraged

to be delivered front to back including unit testing and signed off UAT. The candidate will be

encouraged to provide support for production issues and challenges that may be encountered

for their work and any other issue related to the same.

**Skills & Qualifications:-**

● Graduate degree in Computer Science, Information Technology or related topics;

alternatively, an equivalent education in one of these areas

● Proven track of minimum up to 3+ years of developing web applications and adaptable

interfaces for mobile/desktop browsers

● Proven expertise in modern JavaScript frameworks (ES6 or more recent)

● Coordinate with development teams and designers to develop web applications that run

on numerous platforms.

● Using React Native, design and develop user interface components for JavaScript-

based online and mobile apps. - Troubleshoot issues and improve front-end

performance.

● Write reusable, effective, as well as scalable JavaScript code and create

interchangeable front-end modules.

● Understand clients’ needs to build apps in stipulated time/budget.

● Make use of additional JavaScript libraries such as Redux to make asynchronous API

calls as well as improve the performance of the websites/mobile apps.

● Plan the data and presentation layer of the applications’ front-end.

● Fast learner, passionate about technology, client and team oriented

● Self-motivated and self-dependent personality

● Proficient written and spoken English.

**About Us:**

Q2Pay Technologies is a B2B fintech company focusing on simplifying transactions around

collections, payouts, and other critical business banking &amp; bill payments. We strive to offer a

complete end to end solution platform for businesses to overcome process limitations through

efficient transactional processing, smart analytics, and robust reconciliation.

We work closely with our bank and ecosystem partners to offer efficient and secured AP/AR

experience. Our clients know us for our robust and customized governance framework around

approvals and reconciliation.

Our company DNA comprises of professionals who are known to provide top class customer

experience, have built high quality products, and have achieved &amp; sustained hyper scale on

products.

After Submitting the below Assignment you can get an interview call, submit it on official mail id- careers@q2pay.in

**https://drive.google.com/file/d/19AmgtOwnNYi7-m69hOBIo9BdjHq23Jjj/view?usp=sharing**

**The Application will be viewed after completing and submitting the Assignment otherwise no application will be considered**

Job Type: Full-time

Salary: ₹30,000.00 - ₹50,000.00 per month

Benefits:

* Health insurance

Schedule:

* Monday to Friday

Application Question(s):

* What is your notice period?
* What is your current location?
* What is your current in hand Salary monthly?
* What are your Salary Expectations monthly?

Experience:

* React Native: 1 year (Required)

Work Location: In person"
