"job_url","site","title","company","company_url","location","job_type","date_posted","interval","min_amount","max_amount","currency","is_remote","num_urgent_words","benefits","emails","description"
"https://www.glassdoor.co.in/job-listing/j?jl=1009161360296","glassdoor","Financial Services Specialist [REMOTE/PART-TIME]","MM2 Enterprise, LLC","","","","2024-03-06","yearly",20000.0,20000.0,"USD",True,0.0,"","","We are seeking a highly motivated and customer-focused individual to join our team as a *Financial Services Specialist*.

In this **1099-role**, you will be an **Independent Contractor** responsible for providing financial guidance and support to clients, helping them navigate a wide range of financial products and services.

The ideal candidate will have an understanding of basic financial principles, excellent interpersonal skills, and a commitment to delivering exceptional service to clients.

**This role offers an independent, flexible lifestyle with unlimited earning potential.**

**Key Responsibilities:**

* Conduct thorough financial assessments for clients to understand their goals, needs, and financial situations.
* Provide personalized advice and recommendations on various financial products and services, such as investment options, retirement planning, insurance, and estate planning.
* Stay informed about the latest financial products, services, and industry trends.
* Educate clients on available financial solutions and help them make informed decisions based on their individual circumstances.
* Build and maintain strong, trust-based relationships with clients through effective communication and responsiveness.
* Address client concerns and inquiries promptly, ensuring a positive overall experience.
* Identify opportunities for cross-selling financial products and services to meet clients' comprehensive needs.
* Actively participate in business development activities to attract new clients and expand the client base.

**Qualifications:**

* Excellent interpersonal and communication skills.
* Detail-oriented with strong analytical and problem-solving abilities
* Leverage proven workflow and technology systems that produce highly efficient and effective results for clients and businesses.

**Mandatory Qualifications (Non-Negotiable):**

* Must pass a Federal background check (No Felonies).
* Must have or be able to obtain a U.S Social Security Number.
* Must currently reside in the United States, Puerto Rico or Canada during the onboarding process.
* Must be 18+ years old (This is a Federal Requirement)
* Must be able to complete licensing requirements within 5-7 days
* Accountable with high level of integrity (critical in this regulated and customer-based industry)

**Benefits:**

* Ongoing training and professional development opportunities.
* Collaborative and supportive work environment.

**Other Information:**

* We are 100% remote, Zoom and Google is our platform.
* You will be assigned a Field Trainer who will help guide you throughout the learning process.

*If you are passionate about helping individuals achieve their financial goals and thrive in a dynamic, client-focused environment, we invite you to apply!*

Job Type: Part-time

Pay: From $20,000.00 per year

Expected hours: No less than 5 per week

Benefits:

* Financial planning services
* Opportunities for advancement
* Professional development assistance
* Referral program

Experience level:

* No experience needed

Work Location: Remote"
"https://www.glassdoor.co.in/job-listing/j?jl=1009159919905","glassdoor","Oracle Financial Consultant","Pinnacle Group","","","","2024-03-06","hourly",60.0,60.0,"USD",True,0.0,"","","Role: Oracle Fin Application Developer

Remote (PST)

Duration 6+ months

Requirements:

Expertise in Oracle Financials modules – GL, AP, AR, Fixed Assets, Financial Reporting

Solid background in Pl/SQL

Proficiency in ColdFusion development

Job Types: Full-time, Contract

Salary: From $60.00 per hour

Benefits:

* 401(k)
* Financial planning services
* Health insurance
* Life insurance

Work setting:

* Remote

Experience:

* Financial concepts: 5 years (Preferred)
* Coldfusion: 1 year (Required)

Work Location: Remote"
"https://www.glassdoor.co.in/job-listing/j?jl=1009160207739","glassdoor","Associate, Enrollment","Strive Health","https://www.glassdoor.co.in/Overview/W-EI_IE2864853.htm","Orange, CA","","2024-03-06","yearly",39353.0,54690.0,"USD",False,0.0,"","talentacquisition@strivehealth.com","**What We Strive For**



Strive Health is built for purpose — to transform a broken kidney care system. We are fundamentally changing the lives of people with kidney disease through early identification, engagement and comprehensive coordinated care. Strive's model is driven by a high-touch care team that integrates with local providers and spans the entire care journey from chronic kidney disease through end-stage kidney disease, leveraging comparative and predictive data and analytics to identify at-risk patients. Strive Health's interventions significantly reduce the rate of emergent dialysis crash, cut inpatient utilization and significantly improve patient outcomes and experience. Come join our journey as we create THE destination for top talent in the healthcare community and set a new standard for how kidney care should be done.


**Why We're Worth the Application**


* We Strive for excellence and Strive has been recognized with six Best Place to Work awards, including Forbes America's Best Startup Employers 2023 and 2022, Built In Colorado's Best Places to Work 2022 and 2024, Comparably's Best Places to Work in Denver 2022 and The Tech Tribune's Best Startups in Denver 2022. Additionally, Strive's CEO, Chris Riopelle, has been recognized as one of Denver Business Journal's Most Admired CEOs.
* We derive innovation and ideas from through authentic diversity intentionally building a team that represents the populations we serve in partnership with our Employee Resource Groups:
	+ Strive Forward - LGBTQ
	+ Underrepresented Minorities
	+ Women and Allies
* We care and support our Strivers within and beyond work to feel fully charged and empowered through our generous wellbeing offerings including:
	+ Flexible time off
	+ Companywide wellbeing days
	+ Volunteer time off
	+ Leave packages including a sabbatical, parental leave and eight weeks paid for living donor
	+ Professional development
	+ A dedicated certified financial planner
	+ Headspace, Carrot Fertility and Gympass for all Strivers
* We like to have fun by celebrating our successes as a team through team building, company gatherings, trivia, wellbeing raffles, pajama days, a companywide book club and more.
* We value tenacity to help us overcome obstacles with grit and determination to deliver compassionate kidney care.
**Enrollment Associate**

This role is a high call volume, both inbound and outbound, remote contact center-based position that relies on teammates drive to meet and exceed goals. You will be the first point of contact to assist in patient and provider education. It will be your goal to schedule patients for their initial appointments with the Strive care team. Trust-based relationships are at the core of Strive's care model and that patient experience could start with you.  


**Essential Functions**
* Make outbound calls to prospective patients to educate them on Strive's holistic care model
* Understand patients' needs, demonstrating empathy for individual needs
* Based on a thorough understanding of patients' individual needs, convincingly present Strive's care model
* Discover and act on opportunities to provide value
* Nimbly address inquiries and objections
* Provide a hand-off to Strive's Enrolment Advisors, sharing what you've learned about the patient's unique situation and needs through our care management platform to enable excellent patient experience
* Some key performance indicators that your success will be based on include: number of daily contacts, first call resolution, average handle time, quality measurements and process adherence, ability to increase patient enrollment and education in the market you serve.


**Minimum Qualifications**
* 2+ years in any of the following roles:
* High performing enrollment advisor (or associate position) significantly exceeding targets
* A similar patient-facing role such as: patient care technician, dietician tech, LPN
* Any highly-consultative, sales role
* Internet Connectivity - Min Speeds: 3.8Mbps/3.0Mbps (up/down): Latency <60 ms


**Preferred Qualifications**
* Passionate about Strive's mission and helping kidney disease patients access much better care
* Strong ability to demonstrate empathy, build relationships, discover patients' needs, and present our program convincingly in a phone call
* Highly collaborative, with excellent communication skills (verbal & written)
* Growth minded, adaptable, ready to stretch your comfort zone
* Demonstrate entrepreneurial spirit, identifying and collaborating to solve complex problems, and drive continuous improvement efforts
* Infectiously positive attitude and desire to learn, grow and lead
* Fluency in another language


**Hourly Range**: $22.25-$25.00


Strive Health offers competitive compensation and benefits, including Health insurance, Dental insurance, Vision insurance, 401k Retirement Plan with Employer Match, Life and Accidental Death & Dismemberment insurance, Disability insurance, Health Savings Account, Flexible Spending Account, paid company holidays, in addition to Vacation Time Off. An annual performance bonus, determined by company and individual performance, is available for many roles as aligned to Strive Health guidelines.



Strive Health is an equal opportunity employer and drug free workplace. At this time Strive Health is unable to provide work visa sponsorship. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. Please apply even if you feel you do not meet all qualifications. If you require reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to talentacquisition@strivehealth.com"
"https://www.glassdoor.co.in/job-listing/j?jl=1009159855616","glassdoor","Operations Analyst, Institutional Equities","Performance Trust Capital Partners, LLC","https://www.glassdoor.co.in/Overview/W-EI_IE328241.htm","","","2024-03-06","","","","",True,0.0,"","","Description:

**Job Purpose**


Performance Trust Capital Partners is seeking to add an Analyst to our Trade Operations team with a focus on equity market-making activity. This individual will be joining a fast paced and exciting business focused on institutional equity trading with the opportunity to grow and continually develop their skills across several financial services skill sets. We are looking for a detail-oriented multitasker with experience in equity space to join our team in support of the ongoing growth and expansion at our firm. This role will require the person to be organized, self-motivated and comfortable driving towards solutions while leading the day-to-day support for equity market trading activity.

**Duties & Responsibilities**

* Support new account opening and ongoing documentation requirements for account opening and maintenance in alignment with regulatory requirements.
* Manage the day-to-day trade processing and settlement processes for a growing equity market making business.
* Support all trade settlement processing including don’t know (DK), mismatched and trade inquiries aligned with daily trading activity.
* Manage the engagement and support requirements with key vendors in alignment with the equity business activity.
* Act as the main intermediary between the clearing firm and the broker dealer supporting daily operational processes.
* Support client inquiries in alignment with day-to-day business activities.
* Act as functional point person for all regulatory CATS and CAIS reporting in alignment with FINRA regulatory expectations.
* Coordinate with the firm's supervisory and compliance functions regarding requests for data, details and insights on activities in the equity business vertical.
* Develop and maintain ongoing collaborative relationships with the trader and sales teams of the equity market maker activities.


Requirements: **Qualifications**

* Prior experience working in financial services, preferably at a broker dealer
* Strong proficiency with Microsoft Office Products
* Prior client-facing experience
* FINRA Series 7 licensed (if not currently licensed, must obtain license within reasonable time of employment)"
"https://www.glassdoor.co.in/job-listing/j?jl=1009159462047","glassdoor","Central Relationship Manager - Greater New Jersey Area","Fidelity Investments","https://www.glassdoor.co.in/Overview/W-EI_IE2786.htm","","","2024-03-06","","","","",True,0.0,"","accommodations@fmr.com","**Job Description:**
--------------------


Central Relationship Manager

**To be eligible for consideration of this role, your primary residence must be located within a 90 mile radius at the time of application from the approved branch sites below:**


Millburn, Paramus, Princeton, Wayne, Morristown, Shrewsbury, Bridgewater


We have an exciting opportunity for a remote, licensed Central Relationship Manager in the Greater New Jersey Area! While you will work from home, you must reside near the New Jersey area as occasional in-person participation with your peers is an important part of our culture. We offer virtual interviewing and onboarding, as well as access to our virtual training and support. You’ll have full access to work from home capability to support our clients remotely.

**The Purpose of Your Role**
----------------------------


This Central Relationship Manager position calls for positive energy and persistent drive! You will focus on engaging current and potential clients via phone. Working in partnership with our advisor teams, you will build the path to an enhanced client experience and explore ways we can deepen and expand the relationship we have with clients.

**The Expertise We’re Looking For**
-----------------------------------

* 1-3 years of experience in financial services (outbound calling experience preferred)
* Related customer engagement experience desired
* Series 7 required
* Series 63 and 65 or Series 66 licensed or ability to acquire upon hire

**The Skills You Bring**
------------------------

* Confidence with making outbound telephone calls to clients with various asset levels
* Excellent communication and interpersonal skills with clients, peers, and business partners
* Your ability to succeed in a fast-paced environment
* An understanding of key economic indicators and interest rates as they impact equity, fixed income products and the financial markets

**The Value You Deliver**
-------------------------

* You are essential to the Fidelity relationship strategy!
* Deepening client relationships through long term guidance
* Collaborating with internal business partners to help build long lasting, meaningful relationships with clients

**Our Investments in You**
--------------------------


Fidelity’s greatest advantage is our people, and we believe it is important to approach life holistically. We offer a competitive total rewards package, including a stable base salary, to recognize associate achievements. And our benefit programs are designed to help you and your family strike the right balance.

**Certifications:**
-------------------


Series 07 - FINRA, Series 63 - FINRA, Series 65 - FINRA, Series 66 - FINRA**Company Overview**


Fidelity Investments is a privately held company with a mission *to strengthen the financial well-being of our clients.* We help people invest and plan for their future. We assist companies and non-profit organizations in delivering benefits to their employees. And we provide institutions and independent advisors with investment and technology solutions to help invest their own clients’ money.


**Join Us**


At Fidelity, you’ll find endless opportunities to build a meaningful career that positively impacts peoples’ lives, including yours. You can take advantage of flexible benefits that support you through every stage of your career, empowering you to thrive at work and at home. Honored with a Glassdoor Employees’ Choice Award, we have been recognized by our employees as a top 10 Best Place to Work in 2024. And you don’t need a finance background to succeed at Fidelity—we offer a range of opportunities for learning so you can build the career you’ve always imagined.


At Fidelity, our goal is for most people to work flexibly in a way that balances both personal and business needs with time onsite and offsite through what we’re calling “Dynamic Working”. Most associates will have a hybrid schedule with a requirement to work onsite at a Fidelity work location for at least one week, 5 consecutive days, every four weeks. These requirements are subject to change.


**At Fidelity, we value honesty, integrity, and the safety of our associates and customers within a heavily regulated industry**. Certain roles may require candidates to go through a preliminary credit check during the screening process. Candidates who are presented with a Fidelity offer will need to go through a background investigation, detailed in this document, and may be asked to provide additional documentation as requested. This investigation includes but is not limited to a criminal, civil litigations and regulatory review, employment, education, and credit review (role dependent). These investigations will account for 7 years or more of history, depending on the role. Where permitted by federal or state law, Fidelity will also conduct a pre-employment drug screen, which will review for the following substances: Amphetamines, THC (marijuana), cocaine, opiates, phencyclidine.


We invite you to **Find Your Fidelity** at fidelitycareers.com.


Fidelity Investments is an equal opportunity employer. We believe that the most effective way to attract, develop and retain a diverse workforce is to build an enduring culture of inclusion and belonging.


Fidelity will reasonably accommodate applicants with disabilities who need adjustments to participate in the application or interview process. To initiate a request for an accommodation, contact the HR Accommodation Team by sending an email to accommodations@fmr.com, or by calling 800-835-5099, prompt 2, option 3."
"https://www.glassdoor.co.in/job-listing/j?jl=1009159914363","glassdoor","Sr. Equity Research Analyst - Sell Side","The Misch Group","https://www.glassdoor.co.in/Overview/W-EI_IE553344.htm","Cleveland, OH","","2024-03-06","","","","",False,0.0,"","","**About Us:**


We are seeking an accomplished Senior Equity Research Analyst to join our sell side team. We are dedicated to providing exceptional value to our clients' investment strategies through insightful and distinctive research. Our commitment to integrity, innovation, and excellence sets us apart in the industry.

 **Role Overview:**


As a Senior Equity Research Analyst, you will be at the forefront of our research efforts, delivering in-depth analysis that goes beyond the conventional. Your expertise will be crucial in deciphering market dynamics, understanding company performance, and identifying unique investment opportunities. You will collaborate closely with both clients and internal teams to share your insights and contribute to informed decision-making.

 **Key Responsibilities:**

* Conduct comprehensive fundamental analysis, closely tracking industry trends, market developments, and company news.
* Utilize our proprietary research methodology to uncover distinct and valuable insights.
* Generate well-crafted written reports and comments that provide actionable investment recommendations.
* Maintain accurate and up-to-date ratings for the stocks under your coverage.
* Develop and refine financial models to forecast company performance and valuation.
* Engage with clients, senior management of covered companies, and Sales and Trading Teams.
* Foster and leverage significant institutional relationships to enhance research depth and accuracy.

 **Qualifications:**

* Bachelor's degree in a relevant field is required.
* Series 7 and Series 86/87 licenses are mandatory. Series 66 registration is essential to interact with clients.
* Exceptional integrity, a collaborative mindset, and a strong work ethic are paramount.
* Proficiency in financial modeling, valuation methodologies, and analytical techniques.
* Ideally possess CFA, MBA, or CPA credentials.
* A minimum of two years of sell-side experience with credible buy-side references.

 **Desired Skills and Experience:**

* In-depth understanding of proprietary research processes and methodologies.
* Track record of sourcing unique and valuable information that drives investment decisions.
* Participation in industry-specific events and trade shows is advantageous.
* Experience in client-facing roles, demonstrating effective communication and rapport-building skills.
* Samples of previous research work showcasing your analytical prowess.

  

$230,000 - $250,000"
"https://www.glassdoor.co.in/job-listing/j?jl=1009159747381","glassdoor","Sr Registered Virtual Branch Consultant","Raymond James Financial, Inc.","https://www.glassdoor.co.in/Overview/W-EI_IE559.htm","","","2024-03-06","","","","",True,0.0,"","","**Sr Registered Virtual Branch Consultant****-****2400830****Description** **Job Summary**  

Under general supervision, uses specialized skills gained through training and experience to provide proactive, virtual support to financial advisors. Provide efficient, high quality client service, account maintenance, and administrative support to advisors within the scope of the program. Follows established standard operating procedures to perform tasks, projects, and assist clients. Receives general guidance and direction to perform other work with substantial variety and complexity requiring decision making responsibility.


**Essential Duties and Responsibilities**  

* Communicates with assigned advisors proactively on a daily basis to ensure needs are being met and necessary support is being provided.
* Manages client account maintenance activities which includes, but is not limited to opening/maintaining accounts, submitting forms, money movement, monitoring transactions and transfers, etc.
* Delivers client support which includes, but is not limited to client meeting preparation, running reports, meeting follow up, and special outreach projects, etc.
* Provides high caliber service to clients by responding to inquiries and requests promptly.
* Researches complex client situations, communicates with home office departments to seek a timely resolution, while managing client’s expectations until resolved.
* Participates in ongoing training and education to ensure the most efficient usages of technology and firm resources.
* Performs other duties and responsibilities as assigned.
* Coordinates /oversees the transition process for new client transition of accounts with other functional areas to ensure a professional process from initial client contact through transition of accounts ensuring proper execution of every step of the new client onboarding process.
* Assists with prospective clients, provides consultation and education regarding the Raymond James and Associates platform.

**Qualifications** **Knowledge, Skills, and Abilities**  

**Knowledge of**  

* Company’s working structure, policies, mission, and strategies.
* General office practices, procedures, and methods.
* Financial industry experience
* Use appropriate interpersonal styles and communicate effectively, both orally and in writing, with all organizational levels.
* Work independently.
* Provide a high level of customer service.

**Skill in**  

* Proficient use of Microsoft program suite, with advanced excel knowledge
* Able to analyze account information
* Organize, manage, and track multiple detailed tasks and assignments with frequently changing priorities and deadlines in a fast-paced work environment.
* Provide the most efficient usage of technology and firm resources to enhance the client experience

**Ability to**  

* Help drive utilization/adoption to key tools and resources
* Use appropriate interpersonal styles and communicate effectively, both orally and in writing, with all organizational levels.
* Work independently.
* Provide a high level of customer service.

**Educational/Previous Experience Requirements**  

* Associate’s degree and five (5) years of licensed financial services industry service experience.
* Branch experience preferred
* ~or~
* An equivalent combination of experience, education, and/or training as approved by Human Resources.

**Licenses/Certifications**  

* SIE required provided that an exemption or grandfathering cannot be applied.
* Series 7 required.
* Series 63, 65 and/or 66 as required by state.
* Ability to obtain additional securities and advisory state registrations if required by state.

**Raymond James Guiding Behaviors**  

At Raymond James our associates use five guiding behaviors (Develop, Collaborate, Decide, Deliver, Improve) to deliver on the firm's core values of client-first, integrity, independence and a conservative, long-term view.


We expect our associates at all levels to:  

* Grow professionally and inspire others to do the same
* Work with and through others to achieve desired outcomes
* Make prompt, pragmatic choices and act with the client in mind
* Take ownership and hold themselves and others accountable for delivering results that matter
* Contribute to the continuous evolution of the firm
  


At Raymond James – as part of our people-first culture, we honor, value, and respect the uniqueness, experiences, and backgrounds of all of our Associates. When associates bring their best authentic selves, our organization, clients, and communities thrive. The Company is an equal opportunity employer and makes all employment decisions on the basis of merit and business needs.
**Job** Administrative & Support Services**Primary Location** US-RM-Remote-Remote**Organization** Private Client Group**Schedule** Full-time**Shift** Day Job**Travel** No**Eligible for Discretionary Bonus** Yes
#LI-JM1"
"https://www.glassdoor.co.in/job-listing/j?jl=1009161263363","glassdoor","Financial Planner","TD Bank","https://www.glassdoor.co.in/Overview/W-EI_IE4099327.htm","Halifax","","2024-03-06","","","","",False,0.0,"","","**Department Overview :**

TD Wealth takes a sophisticated and holistic goals discovery approach to wealth planning and protection to provide highly personalized advice, solutions and service to clients.

*Financial Planning*team understands that helping clients set and achieve their financial goals while delivering a legendary customer experience is what drives our business success, new business and client loyalty. We do this by knowing our clients, offering the most professional and personalized solutions and building award-winning, high-performing teams.

We have a long and growing history in wealth management leadership and are poised for even greater future success. Feel welcome, challenged and rewarded. Trust us, you'll be busy, but never bored.

**Job Description :**

Are you an experienced professional skilled at providing mass affluent investing clients with comprehensive financial planning and advice? If so, then apply for the position of *Financial Planner* today to assist clients in meeting their financial goals and objectives.

With a focus on relationship management, advice and business development, you will:

* Identify your client's life and financial goals, provide comprehensive reviews and build long-term relationships through financial planning expertise, relationship building and ongoing services
* Conduct reporting and relevant analysis using results to draw conclusions, make recommendations and continually assess the effectiveness of programs, policies and practices
* Contribute to team and department goals while strengthening customer service and dedication
* Monitor service, productivity and assess efficiency and implement continuous improvements
* Be knowledgeable of best practices and procedures and stay ahead of emerging trends
* Acquire and apply expertise, provide mentorship, assistance and direction to others
* Maintain a culture of risk management and control, supported by aligned risk appetite
* Participate fully as a member of the team, support a positive and service-oriented work environment

Job Requirements :

***Required:***

* ***University Degree***
* ***3-5 years of banking experience***
* ***Canadian Securities Course (CSC) required***

Nice to have:

* IIROC license preferred (required within first 90 days in role)
* Complete Conduct & Practices Handbook (CPH) within first 90 days in role
* Complete Wealth Management Essentials (WME) within first 30 months in role
* Achieve Certified Financial Planner designation within first 3 years in role
* Deep understanding of the industry, competitive landscape and economic market issues
* Strong communication skills with ability to work collaboratively and independently, provide assistance and build relationships

Job Types: Full-time, Permanent

Benefits:

* Company pension
* Dental care
* Employee assistance program
* Extended health care
* Flexible schedule
* Paid time off
* RRSP match
* Wellness program
* Work from home

Schedule:

* Monday to Friday

Supplemental pay types:

* Bonus pay
* Commission pay

Education:

* Bachelor's Degree (required)

Experience:

* banking: 3 years (required)

Licence/Certification:

* Canadian Securities Course / CSC (required)

Work Location: In person"
"https://www.glassdoor.co.in/job-listing/j?jl=1009158755575","glassdoor","Learning & Development Consultant 2","Principal Financial Group","https://www.glassdoor.co.in/Overview/W-EI_IE2941.htm","Des Moines, IA","","2024-03-05","yearly",51000.0,121200.0,"USD",False,0.0,"","","What You'll Do:

We take pride in being a purpose-led firm, motivated by our mission to make financial security accessible to all. Our mission, integrity, and customer focus have made us a trusted leader for more than 140 years!

  

Are you passionate about learning and development? As a Learning & Development Consultant 2 you’ll use instructional design methods to create and deliver learning programs for our Retirement and Income Solutions Individual Solutions Sales team. You’ll engage in each phase of the L&D process from initial consultation on training needs, determining delivery method and training deployment.

 **In this role, you’ll be responsible for:**

* Development and deployment of training topics focused within the ongoing and growth development areas for the Individual Solutions Sales team.
* Address learning opportunities and identify gaps and process improvements in the training curriculum.
* Collaborate with leaders, business partners, other trainers, and project teams to develop the necessary learning programs to support training initiatives.

Success in this position requires strong communication, critical thinking to identify and implement solutions and interpersonal skills to build relationships to accomplish the team's training goals. This role doesn’t have a traditional roadmap, you must be a self-starter that’s open to thinking of new ways to deliver training to our audiences.


Who You Are:  

* Bachelor's degree or equivalent and 4+ years of related training or instructional design experience required.
* Successful Registration as an Investment Company Products/Variable contracts Limited Representative (FINRA Series 6 or equivalent and FINRA Series 63) within 90 days of employment required.
* Instructional design methodology and practice required, with the emphasis on adult learning.
* Results driven and detail oriented with the ability to manage change in a dynamic environment.
* Demonstrate effective organizational, interpersonal, and communication skills (verbal and written)
* Basic PC skills in Microsoft Office are also necessary.
* Some travel may be required (10% or less)

**A successful candidate will have:**

* Strong analytical, leadership, problem-solving, decision-making, negotiation, planning, facilitation, and presentation skills
* Business knowledge of how our Retirement and Income Solutions Teams operate as well as experience supporting our Individual Solutions Sales team preferred.


Salary Range Information: Salary ranges below reflect targeted base salaries. Non-sales positions have the opportunity to participate in a bonus program. Sales positions are eligible for sales incentives, and in some instances a bonus plan, whereby total compensation may far exceed base salary depending on individual performance. Actual compensation for all roles will be based upon geographic location, work experience, education, licensure requirements and/or skill level and will be finalized at the time of offer. Salary Range: $51000 - $121200 / year Time Off Program: Flexible Time Off (FTO) is provided to salaried (exempt) employees and provides the opportunity to take time away from the office with pay for vacation, personal or short-term illness. Employees don’t accrue a bank of time off under FTO and there is no set number of days provided. Additional Information:
**Work Environments**


This role offers in-office, hybrid (blending at least three office days in a typical workweek), and remote work arrangements (only if residing more than 30 miles from Des Moines, IA, or Charlotte, NC). You’ll work with your leader to figure out which option may align best based on several factors.

 **Job level**


We’ll consider talent at the next level with the right experiences and skills.

**Work Authorization/Sponsorship**


At this time, we're not considering candidates that need any type of immigration sponsorship (additional work authorization or permanent work authorization) now or in the future to work in the United States? This includes, but IS NOT LIMITED TO: F1-OPT, F1-CPT, H-1B, TN, L-1, J-1, etc. For additional information around work authorization needs please use the following links.

**Nonimmigrant Workers** **and** **Green Card for Employment-Based Immigrants**

**Investment Code of Ethics**


For Principal Asset Management positions, you’ll need to follow an Investment Code of Ethics related to personal and business conduct as well as personal trading activities for you and members of your household. These same requirements may also apply to other positions across the organization.

**Experience Principal**


While our expertise spans the globe, we're bound by one common purpose: to foster a world where financial security is accessible to all. And our success depends on the unique experiences, backgrounds, and talents of our employees – individually and all of us together. Explore our core values, benefits and why we’re an exceptional place to grow your career.

 **Principal is an Equal Opportunity Employer**


All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.


Posting Window: We will accept applications for 3 full days following the Original Posting Date, after which the posting may remain open or be removed based upon applications received. If we choose to post the job again, we will accept additional applications for at least 1 full day following the Most Recently Posted Date. Please submit applications in a timely manner as there is no guarantee the posting will be available beyond the applicable deadline. Date First Posted (TTF): 2/9/2024 Latest Post Date: Careers - US: 3/4/2024
LinkedIn Remote Hashtag


: #LI-Remote"
"https://www.glassdoor.co.in/job-listing/j?jl=1009158498243","glassdoor","Workday Financial consultant","ITCommence Inc","","Dallas, TX","","2024-03-05","hourly",70.0,75.0,"USD",False,0.0,"","","one of our hiring teams is hiring Workday Financial **candidate.**

Role: Workday Financial

Duration: long term

100% Remote

**Must have skills:**

* Workday Financial Exp.
* Certification in the Workday Finance module.
* Experience with banking integrations

Job Type: Contract

Pay: $70.00 - $75.00 per hour

Schedule:

* 8 hour shift

Experience:

* Workday: 10 years (Required)
* Financial integration: 4 years (Required)

Work Location: Remote"
